addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"HARICA U.16., SAJÓSZENTPÉTER, Magyarország, 3770",COOP,,SAJÓSZENTPÉTER,Magyarország,,{'@spider': 'coop_dac'},,48.210514,20.707418,501. SZ. ÉLELMISZERBOLT,,,3770,1002299,,https://coop.hu/uzlet/1002299,,https://coop.hu/
"HÁRSFA U.40., SIMONTORNYA, Magyarország, 7081",COOP,,SIMONTORNYA,Magyarország,,{'@spider': 'coop_dac'},,46.7580237,18.5379699,6. SZ.KÉK ABC,,,7081,1001725,,https://coop.hu/uzlet/1001725,,https://coop.hu/
"HUNYADI ÚT 1/A., SITKE, Magyarország, 9671",COOP,,SITKE,Magyarország,,{'@spider': 'coop_dac'},,47.2425775,17.0242362,12. SZ. VEGYESBOLT,,,9671,1014671,,https://coop.hu/uzlet/1014671,,https://coop.hu/
"HALÁSZ L. U. 13, SÜMEG, Magyarország, 8330",COOP,,SÜMEG,Magyarország,,{'@spider': 'coop_dac'},,46.9751942,17.2870973,4. SZ. ABC,,,8330,1004144,,https://coop.hu/uzlet/1004144,,https://coop.hu/
"HUNYADI U. 118., SZALÁNTA, Magyarország, 7811",COOP,,SZALÁNTA,Magyarország,,{'@spider': 'coop_dac'},,45.9492032,18.2377912,177 COOP MINI SZALÁNTA,,,7811,1004086,,https://coop.hu/uzlet/1004086,,https://coop.hu/
"HARGITA U. 60., SZEGED, Magyarország, 6726",COOP,,SZEGED,Magyarország,,{'@spider': 'coop_dac'},,46.236564,20.1849766,114. SZ. HARGITA COOP SZUPER ÁRUHÁZ,,,6726,1001554,,https://coop.hu/uzlet/1001554,,https://coop.hu/
"HŐSÖK TERE 6., SZELEVÉNY, Magyarország, 5476",COOP,,SZELEVÉNY,Magyarország,,{'@spider': 'coop_dac'},,46.8026437,20.2045918,667.SZ. COOP ABC,,,5476,1035655,,https://coop.hu/uzlet/1035655,,https://coop.hu/
"HÔSÖK TERE 12, SZENDRŐ, Magyarország, 3752",COOP,,SZENDRŐ,Magyarország,,{'@spider': 'coop_dac'},,48.4074914,20.728388,107. SZ. ABC,,,3752,1011836,,https://coop.hu/uzlet/1011836,,https://coop.hu/
"HAMVAS BÉLA U.2-8., SZENTENDRE, Magyarország, 2000",COOP,,SZENTENDRE,Magyarország,,{'@spider': 'coop_dac'},,47.6686989,19.061777,MÓRIC ABC,,,2000,1029939,,https://coop.hu/uzlet/1029939,,https://coop.hu/
"HUNYADI ÚT 771/2.HRSZ., SZIHALOM, Magyarország, 3377",COOP,,SZIHALOM,Magyarország,,{'@spider': 'coop_dac'},,47.7728146,20.4843209,42. SZ. ABC,,,3377,1000838,,https://coop.hu/uzlet/1000838,,https://coop.hu/
"HŐSÖK TERE 16., TAHITÓTFALU, Magyarország, 2021",COOP,,TAHITÓTFALU,Magyarország,,{'@spider': 'coop_dac'},,47.754524,19.089033,375.SZ.COOP SZUPER,,,2021,1041824,,https://coop.hu/uzlet/1041824,,https://coop.hu/
"HÁRSFA U. 20., TISZALÚC, Magyarország, 3565",COOP,,TISZALÚC,Magyarország,,{'@spider': 'coop_dac'},,48.036479,21.062816,601. SZ. ABC,,,3565,1002379,,https://coop.hu/uzlet/1002379,,https://coop.hu/
"HŐSÖK TERE 1., TISZAROFF, Magyarország, 5234",COOP,,TISZAROFF,Magyarország,,{'@spider': 'coop_dac'},,47.396292,20.431925,940. ABC,,,5234,1007502,,https://coop.hu/uzlet/1007502,,https://coop.hu/
"HUNYADI U. 30., TOMPALÁDONY, Magyarország, 9662",COOP,,TOMPALÁDONY,Magyarország,,{'@spider': 'coop_dac'},,47.381074,16.885507,38. SZ. VEGYESBOLT,,,9662,1011266,,https://coop.hu/uzlet/1011266,,https://coop.hu/
"HUNYADI U.3., ÚJSZENTMARGITA, Magyarország, 4065",COOP,,ÚJSZENTMARGITA,Magyarország,,{'@spider': 'coop_dac'},,47.7266558,21.1043354,113. ABC KISÁRUHÁZ,,,4065,1006331,,https://coop.hu/uzlet/1006331,,https://coop.hu/
"HUNYADI U. 4., ÚJTIKOS, Magyarország, 4096",COOP,,ÚJTIKOS,Magyarország,,{'@spider': 'coop_dac'},,47.9194506,21.1760307,13. SZ. BOLT,,,4096,1002121,,https://coop.hu/uzlet/1002121,,https://coop.hu/
"HUNYADI U. 2/A., ÜLLŐ, Magyarország, 2225",COOP,,ÜLLŐ,Magyarország,,{'@spider': 'coop_dac'},,47.381581,19.3398618,VEGYES ABC,,,2225,1003619,,https://coop.hu/uzlet/1003619,,https://coop.hu/
